Order_id,Order_Date,Product_Name,Category,Region,Quantity,Sales,Profit,Country,Customer_Name,State,sub_category,discount,segment
165455,31-12-2024,Printer,Office,North,4,3640,348.93,UK,Rahul Sharma,Florida,Tables,0.3,Consumer
912345,27-11-2022,Mouse,Accessories,East,7,1197,106.53,Canada,Priya Johnson,London,Binders,0.1,Consumer
374158,11-05-2022,Tablet,Electronics,South,5,5865,502.73,Australia,Rahul Taylor,Texas,Chairs,0.05,Consumer
259050,16-03-2024,Mouse,Accessories,South,2,786,202.87,India,John Johnson,Punjab,Phones,0.3,Corporate
865825,10-09-2022,Mouse,Accessories,West,1,509,103.28,India,Rahul Taylor,Texas,Chairs,0.15,Consumer
977818,01-12-2023,Camera,Electronics,West,1,524,106.35,Australia,Sophia Taylor,Ontario,Binders,0,Consumer
923561,09-10-2023,Headphones,Accessories,North,7,6167,1027.98,Canada,Michael Yadav,New South Wales,Binders,0.05,Home Office
634560,14-01-2022,Camera,Electronics,South,7,3059,873.5,India,Amit Thomas,California,Paper,0.15,Consumer
268138,02-04-2022,Smartwatch,Electronics,East,9,5526,595.28,USA,John Yadav,California,Paper,0.1,Consumer
781980,22-10-2024,Printer,Office,South,8,672,186.37,Australia,Sneha Sharma,London,Chairs,0.2,Corporate
741327,04-12-2023,Monitor,Accessories,South,6,7074,1357.68,Canada,Amit Patel,Maharashtra,Binders,0.1,Corporate
531223,27-09-2022,Smartwatch,Electronics,East,2,502,137.4,USA,Sophia Patel,California,Binders,0.2,Corporate
923166,21-12-2023,Tablet,Electronics,North,7,7462,2166.17,UK,Michael Thomas,Texas,Chairs,0,Consumer
897394,03-02-2024,Smartphone,Electronics,West,5,4205,585.29,UK,Sophia Sharma,London,Accessories,0.1,Consumer
913409,10-10-2023,Camera,Electronics,West,1,570,138.54,Australia,Priya Patel,Ontario,Paper,0.1,Home Office
871291,16-10-2022,Headphones,Accessories,East,1,441,102.42,USA,Amit Johnson,Delhi,Binders,0.1,Corporate
800369,15-05-2022,Mouse,Accessories,North,7,7469,589.81,USA,Olivia Smith,Florida,Binders,0.2,Corporate
147592,11-02-2023,Tablet,Electronics,South,2,2212,145.75,India,Michael Patel,Maharashtra,Tables,0.15,Consumer
982056,27-12-2023,Tablet,Electronics,East,5,740,146.39,Australia,Sophia Brown,Uttar Pradesh,Accessories,0.05,Corporate
429977,05-10-2023,Headphones,Accessories,North,1,662,193.92,India,Sophia Smith,California,Accessories,0.15,Consumer
887612,05-03-2024,Mouse,Accessories,North,7,5712,651.27,USA,Emma Sharma,Maharashtra,Phones,0.15,Consumer
478072,18-07-2023,Smartwatch,Electronics,North,3,2739,572.73,UK,David Anderson,Florida,Phones,0,Consumer
814899,25-06-2023,Keyboard,Accessories,West,5,1400,213.63,UK,Emma Patel,California,Phones,0,Consumer
294063,13-11-2023,Printer,Office,North,3,3477,939.2,Canada,Priya Smith,Texas,Paper,0.2,Consumer
542840,09-07-2022,Camera,Electronics,North,5,3475,570.36,Australia,John Sharma,Uttar Pradesh,Tables,0.15,Home Office
920932,11-12-2023,Laptop,Electronics,West,9,6138,1562.14,UK,John Yadav,Maharashtra,Phones,0.3,Consumer
661058,18-03-2023,Camera,Electronics,West,5,3665,406.93,India,John Johnson,Delhi,Tables,0.2,Corporate
357195,09-08-2024,Printer,Office,North,2,2372,206.42,India,Michael Patel,Florida,Paper,0.2,Consumer
142744,04-05-2024,Laptop,Electronics,North,2,1382,211.11,UK,Sophia Yadav,London,Tables,0,Consumer
626591,04-09-2022,Laptop,Electronics,West,1,1126,194.08,Canada,Emma Thomas,Texas,Accessories,0.2,Home Office
671677,21-10-2022,Printer,Office,West,8,1376,152.1,UK,Olivia Yadav,California,Binders,0.1,Home Office
633161,22-01-2024,Mouse,Accessories,West,4,988,147.91,India,John Sharma,London,Phones,0.05,Consumer
447794,09-04-2023,Laptop,Electronics,North,9,10773,1907.36,USA,Michael Yadav,London,Binders,0.05,Home Office
329868,07-02-2023,Headphones,Accessories,South,4,3252,713.46,USA,Sophia Patel,New South Wales,Accessories,0,Home Office
664969,04-05-2023,Headphones,Accessories,North,3,2739,202.81,India,Amit Sharma,California,Chairs,0.15,Consumer
448627,18-04-2023,Tablet,Electronics,South,7,2709,702.79,Australia,John Thomas,Delhi,Paper,0.3,Corporate
936363,12-12-2022,Printer,Office,West,3,936,201.24,Australia,John Brown,Texas,Paper,0.15,Consumer
933851,11-09-2022,Camera,Electronics,West,4,3720,410.92,Australia,Sophia Thomas,Uttar Pradesh,Phones,0.05,Consumer
249471,26-03-2024,Mouse,Accessories,West,5,5320,716.91,Canada,Sophia Anderson,Texas,Binders,0,Corporate
